,0
duration,0.044544182458003956
src_bytes,0.4836804498371895
dst_bytes,0.3766760119014938
land,0.00019159609357877194
wrong_fragment,0.0029016863450141983
urgent,0.0005214593713220861
hot,0.0105059926120179
num_failed_logins,8.29332487199963e-05
logged_in,0.2809857684461907
num_compromised,0.0015664687879957118
root_shell,0.0010755209219506234
su_attempted,0.0006192238017177498
num_root,0.0008145416110001413
num_file_creations,0.0
num_shells,0.0
num_access_files,0.0008196919375651479
num_outbound_cmds,0.0
is_host_login,0.0019898538191571724
is_guest_login,0.008773967632959456
count,0.46954058339015226
srv_count,0.2790748063107733
serror_rate,0.06549032963921286
srv_serror_rate,0.05074659173877283
rerror_rate,0.02163603179300355
srv_rerror_rate,0.012607496451375821
same_srv_rate,0.0751524950101734
diff_srv_rate,0.0801940923956288
srv_diff_host_rate,0.12183406102358885
dst_host_count,0.22971611286956461
dst_host_srv_count,0.15283551433433074
dst_host_same_srv_rate,0.13494103240168154
dst_host_diff_srv_rate,0.14706668404669077
dst_host_same_src_port_rate,0.2772778604598225
dst_host_srv_diff_host_rate,0.20970325586838268
dst_host_serror_rate,0.07321822657085386
dst_host_srv_serror_rate,0.06386290822879737
dst_host_rerror_rate,0.0326245938098344
dst_host_srv_rerror_rate,0.029091484050363547
protocol_type_icmp,0.202450406114991
protocol_type_tcp,0.09984982055353986
protocol_type_udp,0.062494004258736746
flag_OTH,0.0
flag_REJ,0.0074558950298049265
flag_RSTO,0.001377070123991908
flag_RSTOS0,0.0
flag_RSTR,0.007666880027387579
flag_S0,0.05030445010616891
flag_S1,0.0
flag_S2,0.0
flag_S3,0.0
flag_SF,0.039420495627808805
flag_SH,0.0009979345040631582
service_IRC,0.0004456348648564923
service_X11,0.0
service_Z39_50,0.0012564546541722343
service_auth,0.0026611499489419543
service_bgp,0.0
service_courier,0.0009511995030098142
service_csnet_ns,4.351641328348421e-05
service_ctf,9.263159717765035e-05
service_daytime,0.00010619579486959019
service_discard,0.0012541369767817834
service_domain,0.002791326051044374
service_domain_u,0.021390018370947228
service_echo,0.0
service_eco_i,0.013718335174240703
service_ecr_i,0.21808571381274766
service_efs,0.0
service_exec,0.0021684734458431443
service_finger,0.0024960860019336284
service_ftp,0.006594466967337231
service_ftp_data,0.018463258959456885
service_gopher,0.0007606098877666057
service_hostnames,0.001646461431953794
service_http,0.23352666904125519
service_http_443,0.0017228155364443776
service_imap4,0.0008317047116366272
service_iso_tsap,0.0001576605915256657
service_klogin,0.0
service_kshell,0.0021256287874724666
service_ldap,0.0
service_link,0.002003279609665176
service_login,0.0
service_mtp,0.0026709971433203084
service_name,0.0012282370927696462
service_netbios_dgm,0.0008667366509558239
service_netbios_ns,0.0011836822635089561
service_netbios_ssn,0.0016458030110999555
service_netstat,0.0016775995567794855
service_nnsp,0.0013131102511334536
service_nntp,0.001570964086533122
service_ntp_u,0.0016904436216529373
service_other,0.029025639110370927
service_pm_dump,0.0
service_pop_2,0.0
service_pop_3,0.0
service_printer,0.0014637627458833347
service_private,0.029211149643324275
service_red_i,0.0
service_remote_job,0.0
service_rje,0.0006608754278154549
service_shell,0.0
service_smtp,0.03595307967997674
service_sql_net,0.0
service_ssh,0.0
service_sunrpc,0.0
service_supdup,0.0016981444834642812
service_systat,0.00035030537792679617
service_telnet,0.0011507614924748388
service_tftp_u,0.0
service_tim_i,2.1230376068492873e-05
service_time,0.0011757134376317868
service_urh_i,0.0014211167654296641
service_urp_i,0.003572775955519525
service_uucp,0.0008884199620560196
service_uucp_path,0.0009727985422931518
service_vmnet,0.0
service_whois,0.0
